filename,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
kcmii2_false_1.pdf,27.8,27.8,27.8,25,25,25,25,33.3,25,25,33.3,25,25,25,66.7,50,25,25,25,25,25,25,25,25,66.7,44.4,66.7,38.9,25,25,100,77.8,94.5,69.5,75,30.5,30.6,55.5,44.5,47.2,47.2,30.6,25,25,25,30.5,25,25,50,80.5
kcmii2_true_1.pdf,47,67,50,61,56,61,42,56,53,53,53,69,70,56,64,56,44,67,47,50,44,56,42,64,61,64,58,64,53,70,64,47,64,47,53,50,56,44,64,39,78,75,56,53,56,61,56,47,61,42
kcmii2_true_10.pdf,56,70,64,47,67,69,64,69,58,64,61,56,64,56,50,69,75,47,53,64,61,61,47,61,78,58,72,69,67,83,44,72,58,47,58,53,56,58,50,56,64,44,56,58,47,53,56,72,47,47
kcmii2_true_11.pdf,47,67,50,61,56,61,42,56,53,53,53,69,70,56,64,56,44,67,47,50,44,56,42,64,61,64,58,64,53,70,64,47,64,47,53,50,56,44,64,39,78,75,56,53,56,61,56,47,61,42
kcmii2_true_12.pdf,47,50,56,53,67,56,81,72,50,56,67,61,61,56,67,69,53,53,45,53,56,42,47,53,67,53,67,64,53,69,50,58,53,36,56,58,42,58,56,47,64,58,53,56,58,56,50,47,53,72
kcmii2_true_13.pdf,56,58,67,56,67,64,67,67,53,47,72,61,58,50,58,72,61,61,58,56,69,58,47,64,72,64,75,69,58,78,36,67,53,42,67,50,53,58,67,53,64,58,56,58,56,45,64,53,50,67
kcmii2_true_14.pdf,50,67,70,53,61,53,64,56,50,42,61,81,58,64,58,64,42,50,61,50,53,67,75,78,78,53,69,67,53,58,53,56,47,64,67,58,67,53,61,50,64,81,44,56,78,58,53,50,67,47
kcmii2_true_15.pdf,58,61,53,56,67,61,67,78,58,45,72,69,56,56,75,64,53,67,61,64,64,47,44,67,72,61,61,67,45,69,36,61,58,53,56,53,58,61,72,58,67,58,58,53,56,61,53,58,42,69
kcmii2_true_2.pdf,50,50,56,53,67,56,81,72,50,50,67,61,61,56,67,72,53,53,45,53,56,42,47,53,67,53,67,64,53,36,39,58,53,36,56,58,42,58,56,47,64,36,53,56,58,56,50,44,53,72
kcmii2_true_3.pdf,56,58,67,56,67,64,67,67,53,47,72,61,58,50,58,72,61,61,58,56,69,58,47,64,72,64,75,69,58,78,36,67,53,42,67,50,53,58,67,53,64,58,56,58,56,45,64,53,50,67
kcmii2_true_4.pdf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kcmii2_true_5.pdf,58,61,53,56,67,61,67,78,58,45,72,69,56,56,75,64,53,67,61,64,64,47,44,67,72,61,61,67,45,69,36,61,58,53,56,53,58,61,72,58,67,58,58,53,56,61,53,58,42,69
kcmii2_true_6.pdf,53,75,64,56,72,64,67,58,50,56,61,61,61,47,58,69,70,53,58,58,67,58,61,72,72,64,83,69,61,75,39,69,50,42,69,53,50,58,53,45,58,56,53,53,56,44,70,44,53,70
kcmii2_true_7.pdf,56,58,67,56,67,64,67,67,53,42,72,56,56,53,50,75,61,61,64,56,69,64,50,64,75,64,69,64,58,78,39,67,53,42,67,50,53,53,67,53,64,58,56,58,56,45,64,53,50,67
kcmii2_true_8.pdf,56,64,67,56,67,64,67,67,50,47,72,61,58,50,58,72,53,61,58,56,69,58,47,64,72,64,75,69,58,78,36,67,53,42,67,50,53,58,61,53,64,58,53,53,56,45,64,53,50,67
kcmii2_true_9.pdf,56,58,64,56,67,64,67,67,53,47,72,61,58,50,58,67,56,67,58,56,69,58,47,64,72,64,75,61,58,78,36,67,53,39,67,50,53,58,67,61,64,58,56,58,56,45,64,53,50,67
